559 47 159 576 64 167
Grp_AddMinute;560 48 160;575 48 160
Grp_RemoveMinute;560 50 160;575 50 160
Grp_MoveOneToRed;560 52 160;575 52 160
Grp_MoveOneToBlue;560 54 160;575 54 160
Grp_Shuffle;560 56 160;575 56 160
Grp_AutoJoinGame;560 58 160;575 58 160
Grp_Book;560 60 160;575 60 160
Grp_Install;560 48 162;575 52 162
Grp_Main;560 54 162;575 57 162
Grp_Lobby;560 62 160;575 63 160
Grp_Start;560 59 162;575 60 162
Grp_Warmup;560 48 164;575 50 164
Grp_Play;560 52 164;575 62 164
Grp_Evaluation;560 62 162;575 63 162
Grp_Finish;560 48 166;575 49 166
Grp_Reset;560 51 166;575 51 166
Grp_Teams;560 53 166;575 54 166
Grp_Uninstall;560 56 166;575 58 166
Grp_cmdSave;560 60 166;575 60 166
