-129 6 399 -112 23 419
Grp_GeneralOptionsTFClock;-128 7 400;-113 10 400
Grp_ArrowproofGreenSpawnTFClock;-128 12 400;-113 12 400
Grp_ArrowproofBlueSpawnTFClock;-128 14 400;-113 14 400
Grp_ArrowproofBlueMansionTFClock;-128 16 400;-113 16 400
Grp_PortalTFClock;-128 18 400;-113 19 400
Grp_RoundStartTFClock;-128 21 400;-113 21 400
Grp_RoundEndTFClock;-128 7 402;-113 10 402
Grp_CountdownTFClock;-128 12 402;-113 14 402
Grp_FoundEasterEggTFClock;-128 16 402;-113 16 402
Grp_EasterEggTFClock;-128 18 402;-113 19 402
Grp_ParticleTFClock;-128 7 404;-113 16 404
Grp_SimpleParticleTFClock;-128 21 402;-113 21 402
Grp_StealthInventoryRestoreTFClock;-128 18 404;-113 19 404
Grp_EngineerPigAstheticsTFClock;-128 21 404;-113 21 404
Grp_ControlPointCapture1TFClock;-128 7 406;-113 8 406
Grp_ControlPointCapture2TFClock;-128 10 406;-113 10 406
Grp_TeleporterActivationTFClock;-128 12 406;-113 12 406
Grp_TeleporterDeactivationTFClock;-128 14 406;-113 14 406
Grp_TeleporterTeleportTFClock;-128 16 406;-113 17 406
Grp_RoundTFClock;-128 19 406;-113 20 406
Grp_ArcherArrowDamageTestforClock;-128 7 408;-113 8 408
Grp_EngineerPickupRequestTFClock;-128 10 408;-113 11 408
Grp_EngineerDestructRequestTFClock;-128 22 406;-113 22 406
Grp_EngineerDeadPigTFClock;-128 13 408;-113 13 408
Grp_EngineerPigInitializeTFClock;-128 15 408;-113 17 408
Grp_EngineerTeleportPotionTFClock;-128 19 408;-113 19 408
Grp_MainStart;-128 7 410;-113 22 411
Grp_MainClock;-128 7 413;-113 22 414
Grp_MainEnd;-128 7 416;-113 17 416
Grp_ClassGiveTFClock;-128 7 418;-113 13 418
