351 7 111 368 24 119
Grp_MainStart;352 8 112;367 13 112
Grp_AddingScoreboardsPulse;352 15 112;367 22 112
Grp_SpawnpointTFClock;352 8 114;367 12 114
Grp_TeleportTFClock;352 14 114;367 18 114
Grp_GameStartTellrawTFClock;352 20 114;367 22 114
Grp_SpawnTFClock;352 8 116;367 8 116
Grp_TimerTFClock;352 10 116;367 11 116
Grp_ResetTimerTFClock;352 13 116;367 13 116
Grp_TSTokenPasscodeTFClock;352 15 116;367 16 116
Grp_TSTokenOptionsTFClock;352 18 116;367 19 116
Grp_OtherClock;352 8 118;367 11 118
Grp_MainEnd;352 13 118;367 16 118
