-97 15 239 -89 32 256
Grp_MainStart;-96 16 240;-96 21 255
Grp_MainEnd;-96 23 240;-96 27 255
Grp_RefreshArenaPulse;-96 29 240;-96 30 255
Grp_MainClock;-94 16 240;-94 23 255
Grp_CountdownTFClock;-94 25 240;-94 26 255
Grp_GeneralOptionsTFClock;-94 28 240;-94 30 255
Grp_PlayerJoinTFClock;-92 16 240;-92 16 255
Grp_RoundStartTFClock;-92 18 240;-92 18 255
Grp_RoundTFClock;-92 20 240;-92 21 255
Grp_RoundEndTFClock;-92 23 240;-92 24 255
Grp_DegArenaTFClock;-92 26 240;-92 27 255
Grp_WeaponTypeTFClock;-90 16 240;-90 19 255
Grp_TeamsSettingTFClock;-92 29 240;-92 29 255
Grp_TeamsSelfChooseTFClock;-90 21 240;-90 22 255
Grp_TeamsRandomizerTFClock;-92 31 240;-92 31 255
